Ssiderea046003	factor 19
Ssiderea017520	D-arabinitol dehydrogenase 1-like
Ssiderea038675	Activating transcription factor
Ssiderea035886	melatonin receptor activity
Ssiderea029306	G-protein coupled receptor activity
Ssiderea035031	Mab-21
Ssiderea018541	Leucine Rich repeat
Ssiderea021565	L-alpha-amino acid transmembrane transport
Ssiderea004687	Serpentine type 7TM GPCR chemoreceptor Srsx
Ssiderea025864	cell surface pattern recognition receptor signaling pathway
Ssiderea008476	hyaluronic acid binding
Ssiderea016277	biological adhesion
Ssiderea030579	ion channel activity
Ssiderea054151	Leucine Rich Repeat
Ssiderea014959	Ankyrin repeats (3 copies)
Ssiderea058852	Cubilin (intrinsic factor-cobalamin receptor)
Ssiderea046030	activation of NF-kappaB-inducing kinase activity
Ssiderea012731	26S proteasome non-ATPase regulatory subunit
Ssiderea039587	-
Ssiderea005769	protein serine/threonine phosphatase inhibitor activity
Ssiderea058021	Methyltransferase domain
Ssiderea055065	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea001531	ribosomal small subunit assembly
Ssiderea007634	forkhead box
Ssiderea011732	Carboxylesterase family
Ssiderea015869	hydrolase activity
Ssiderea040730	Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain
Ssiderea004765	Vesicular inhibitory amino acid
Ssiderea004195	G-protein coupled receptor activity
Ssiderea047524	sequestering of TGFbeta in extracellular matrix
Ssiderea034408	carbohydrate binding
Ssiderea012411	ion transport
Ssiderea011299	WD repeat domain 33
Ssiderea013134	to Saccharomyces cerevisiae SEC4 (YFL005W)
Ssiderea004486	Lipoxygenase
Ssiderea046835	guanine nucleotide exchange factor
Ssiderea033669	serotonin receptor activity
Ssiderea013032	alpha-1,4-glucosidase activity
Ssiderea015387	intraciliary anterograde transport
Ssiderea003571	ATP binding
Ssiderea015457	Subtilase family
Ssiderea050583	Sidekick cell adhesion molecule
Ssiderea002425	Limbic system-associated membrane protein
Ssiderea042273	Mab-21
Ssiderea031307	zinc ion binding
Ssiderea045467	HHIP-like 2
Ssiderea011621	Methyltransferase domain
Ssiderea016136	complement activation, lectin pathway
Ssiderea023048	Glycine-rich domain-containing protein-like
Ssiderea051631	RNA splicing
Ssiderea032522	regulation of post-mating oviposition
Ssiderea005736	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly
Ssiderea028819	complement activation, lectin pathway
Ssiderea023218	Domain present in PSD-95, Dlg, and ZO-1/2.
Ssiderea005295	SH2B adapter protein
Ssiderea012914	Kelch-like family member 35
Ssiderea042443	aspartate N-acetyltransferase activity
Ssiderea022590	Ligand-gated ion channel
Ssiderea041530	MAP kinase kinase kinase activity
Ssiderea029376	DN3 thymocyte differentiation
Ssiderea014797	Isocitrate lyase family
Ssiderea032996	poly(A) RNA polymerase
Ssiderea055062	neurogenic locus notch homolog protein
Ssiderea035496	voltage-gated potassium channel activity
Ssiderea60261	Encoded by
Ssiderea058376	ATP-dependent RNA helicase
Ssiderea010564	Domain of unknown function (DUF4572)
Ssiderea004608	ATPase activity, coupled to transmembrane movement of substances
Ssiderea039967	diacylglycerol binding
Ssiderea040934	Laminin B domain
Ssiderea013364	Interferon-induced transmembrane protein
Ssiderea019677	Persulfide dioxygenase ETHE1
Ssiderea024250	negative regulation of axon extension involved in regeneration
Ssiderea048171	integrin binding
Ssiderea022972	Vertebrae development associated
Ssiderea000796	lipoprotein receptor-related protein
Ssiderea052141	G-protein coupled receptor activity
Ssiderea020925	zinc ion binding
Ssiderea027421	negative regulation of non-canonical Wnt signaling pathway
Ssiderea049753	retinol dehydrogenase activity
Ssiderea033995	dGTPase activity
Ssiderea028966	protein-hormone receptor activity
Ssiderea59300	K02A2.6-like
Ssiderea013414	Folate receptor
Ssiderea59236	gamma-butyrobetaine dioxygenase activity
Ssiderea050052	positive regulation of mitochondrial translation
Ssiderea055183	protein ubiquitination
Ssiderea028329	negative regulation of insulin-like growth factor receptor signaling pathway
Ssiderea021907	iron import into the mitochondrion
Ssiderea040697	store-operated calcium channel activity
Ssiderea035882	Serpentine type 7TM GPCR chemoreceptor Srx
Ssiderea046856	Diacylglycerol kinase
Ssiderea053747	regulation of fatty acid beta-oxidation
Ssiderea022083	Sortilin-related VPS10 domain containing receptor
Ssiderea039095	ybeY metallopeptidase
Ssiderea034694	glucose transmembrane transporter activity
Ssiderea036291	microtubule motor activity. It is involved in the biological process described with microtubule-based movement
Ssiderea005465	RNA dependent RNA polymerase
Ssiderea057358	cell adhesion
Ssiderea055133	fibroblast growth factor-activated receptor activity
Ssiderea045053	Ubiquitin-protein ligase
Ssiderea034961	mesenchymal-epithelial cell signaling involved in prostate gland development
Ssiderea017762	Protein tyrosine kinase
Ssiderea056036	G-protein coupled receptor activity
Ssiderea051261	Receptor for adenosine. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase
Ssiderea000785	integrin binding
Ssiderea037168	heparan sulfate proteoglycan
Ssiderea041637	S-acyl fatty acid synthase thioesterase, medium
Ssiderea000008	Fibronectin type 3 domain
Ssiderea012715	hyaluronic acid binding
Ssiderea044976	7 transmembrane receptor (rhodopsin family)
Ssiderea009800	U11-48K-like CHHC zinc finger
Ssiderea051077	tRNA (cytosine) methyltransferase activity
Ssiderea037871	Flavin containing amine oxidoreductase
Ssiderea055204	Mab-21
Ssiderea039932	Protein tyrosine kinase
Ssiderea035293	Phospholipase C-like
Ssiderea054694	Gamma-glutamyltranspeptidase
Ssiderea030045	sequestering of BMP from receptor via BMP binding
Ssiderea038038	neurogenic locus notch homolog protein
Ssiderea018453	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Ssiderea014231	non-membrane spanning protein tyrosine kinase activity
Ssiderea028189	GTP binding
Ssiderea011079	Belongs to the spermidine spermine synthase family
Ssiderea016001	G-protein coupled receptor activity
Ssiderea029661	structural constituent of cell wall
Ssiderea051597	AMP-binding enzyme C-terminal domain
Ssiderea045064	GTPase activity
Ssiderea052942	TENA/THI-4/PQQC family
Ssiderea046277	oxidoreductase activity
Ssiderea030099	3'-flap-structured DNA binding
Ssiderea046305	Acyl-CoA thioester hydrolase/BAAT N-terminal region
Ssiderea040586	Bacterial capsule synthesis protein PGA_cap
Ssiderea046480	Belongs to the peptidase M10A family
Ssiderea018548	Etoposide-induced protein 2.4 homolog
Ssiderea004954	Transferrins are iron binding transport proteins which bind Fe(3 ) ion in association with the binding of an anion, usually bicarbonate
Ssiderea027995	G-protein coupled receptor activity
Ssiderea054588	protein C17orf98 homolog
Ssiderea034133	calcium ion binding
Ssiderea010590	DNA double-strand break processing
Ssiderea030085	Flavin containing amine oxidoreductase
Ssiderea045377	RNA-binding protein 3
Ssiderea045069	GTPase activity
Ssiderea009705	histone demethylase activity (H3-K4 specific)
Ssiderea054190	protein-glutamine gamma-glutamyltransferase activity
Ssiderea014711	-
Ssiderea050914	clathrin heavy chain binding
Ssiderea021914	Fibrinogen beta and gamma chains, C-terminal globular domain
Ssiderea037497	cationic amino acid transporter
Ssiderea028747	CUB and zona pellucida-like domain-containing protein
Ssiderea054010	Plays an important role in the regulation of cell survival, cell division, angiogenesis, cell differentiation and cell migration. Functions as potent mitogen in vitro. Acts as a ligand for FGFR1 and integrins. Binds to FGFR1 in the presence of heparin leading to FGFR1 dimerization and activation via sequential autophosphorylation on tyrosine residues which act as docking sites for interacting proteins, leading to the activation of several signaling cascades. Binds to integrins. Its binding to integrins and subsequent ternary complex formation with integrins and FGFR1 are essential for FGF1 signaling
Ssiderea057150	dyslexia-associated protein
Ssiderea60094	ATP-dependent DNA helicase
Ssiderea024294	neuronal calcium sensor
Ssiderea051670	ADP biosynthetic process
Ssiderea023833	sequestering of TGFbeta in extracellular matrix
Ssiderea047498	7 transmembrane receptor (rhodopsin family)
Ssiderea000580	Methyltransferase domain
Ssiderea001725	neurogenic locus notch homolog protein
Ssiderea005755	maintenance of mitotic sister chromatid cohesion
Ssiderea038148	Leucine-rich repeats, outliers
Ssiderea040190	chondroitin-glucuronate 5-epimerase activity
Ssiderea049196	ubiE/COQ5 methyltransferase family
Ssiderea017289	SAD/SRA domain
Ssiderea026785	Dual specificity phosphatase, catalytic domain
Ssiderea026558	nuclear export signal receptor activity
Ssiderea017530	Kazal type serine protease inhibitors
Ssiderea046377	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea020632	calcium ion binding
Ssiderea030348	G-protein coupled receptor activity
Ssiderea039434	respiratory chain complex III assembly
Ssiderea009968	Carbonic anhydrase
Ssiderea044477	Belongs to the small heat shock protein (HSP20) family
Ssiderea032715	negative regulation of meiotic chromosome separation
Ssiderea054056	neuromedin U receptor activity
Ssiderea052368	May play a role in anchoring the cytoskeleton to the plasma membrane
Ssiderea001166	peroxidase activity
Ssiderea045165	Serine/Threonine protein kinases, catalytic domain
Ssiderea039602	cell cycle G1/S phase transition
Ssiderea032587	Belongs to the peptidase C19 family
Ssiderea026745	tachykinin receptor activity
Ssiderea017889	N-acetylglucosamine 6-O-sulfotransferase activity
Ssiderea003824	-
Ssiderea003404	protein heterodimerization activity
Ssiderea046268	Glutathione S-transferase kappa
Ssiderea010637	NADP-retinol dehydrogenase activity
Ssiderea003526	-
Ssiderea031688	clathrin binding
Ssiderea039974	Domain in the RNA-binding Lupus La protein; unknown function
Ssiderea020898	protein serine/threonine kinase activity
Ssiderea046633	thyroid hormone transmembrane transporter activity
Ssiderea044442	Galactose oxidase, central domain
Ssiderea011827	cobalamin catabolic process
Ssiderea044377	Axin interactor
Ssiderea032535	Fibronectin type 2 domain
Ssiderea001044	zinc ion binding
Ssiderea016618	Prostaglandin D2 receptor
Ssiderea020289	fibroblast growth factor
Ssiderea036643	GABA-A receptor activity
Ssiderea026256	7 transmembrane receptor (rhodopsin family)
Ssiderea057794	Peptidase family M28
Ssiderea60828	Kelch-like protein 17
Ssiderea003615	RNA catabolic process
Ssiderea025930	nucleoside transmembrane transporter activity
Ssiderea025335	regulation of intraciliary retrograde transport
Ssiderea002111	Zinc-finger associated domain (zf-AD)
Ssiderea033847	Notch ligand involved in the mediation of Notch signaling
Ssiderea030203	neurexin family protein binding
Ssiderea045516	-
Ssiderea054845	Sushi, von Willebrand factor type A, EGF and pentraxin
Ssiderea046830	Basic leucine zipper nuclear factor 1
Ssiderea043952	hyaluronic acid binding
Ssiderea011931	e3 ubiquitin-protein ligase
Ssiderea040582	Coiled-coil domain containing 173
Ssiderea051790	Glycosyl hydrolase family 20, catalytic domain
Ssiderea011652	protein ubiquitination
Ssiderea026391	otolith morphogenesis
Ssiderea021521	zinc finger
Ssiderea015247	F-box LRR-repeat protein
Ssiderea032115	Glycerophosphoryl diester phosphodiesterase family
Ssiderea035164	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Ssiderea010358	zinc ion binding
Ssiderea017947	creatine kinase activity
Ssiderea035472	acetylcholine-gated cation-selective channel activity
Ssiderea029882	protein polyubiquitination
Ssiderea034816	Belongs to the eukaryotic ribosomal protein eL20 family
Ssiderea034082	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. This subunit can bind 18S rRNA
Ssiderea021570	vascular endothelial growth factor receptor-2 signaling pathway
Ssiderea007100	regulation of calcium-mediated signaling
Ssiderea019118	protein kinase activity
Ssiderea042071	Mab-21
Ssiderea015513	tRNA pseudouridine synthesis
Ssiderea055400	CDK5 regulatory subunit associated protein 3
Ssiderea010943	May play a role in anchoring the cytoskeleton to the plasma membrane
Ssiderea054024	Zona pellucida (ZP) domain
Ssiderea026977	zinc ion binding
Ssiderea029939	structural constituent of ribosome
Ssiderea000572	metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea054309	-
Ssiderea051642	oxidative phosphorylation uncoupler activity
Ssiderea034965	ATP-dependent DNA helicase
Ssiderea037649	regulation of granulosa cell apoptotic process
Ssiderea035430	triglyceride mobilization
Ssiderea62905	hAT family C-terminal dimerisation region
Ssiderea037499	cationic amino acid transporter
Ssiderea007498	lipoprotein receptor-related protein 2
Ssiderea029323	positive regulation of prolactin signaling pathway
Ssiderea019261	interleukin-8 biosynthetic process
Ssiderea038685	-
Ssiderea025321	ErbB-3 class receptor binding
Ssiderea61794	EGF domain, unclasssified subfamily
Ssiderea004844	protein ubiquitination
Ssiderea050368	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity
Ssiderea052167	-
Ssiderea051212	Chromosome 21 open reading frame 2
Ssiderea029358	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Ssiderea058266	Ribosomal L29e protein family
Ssiderea054844	axonogenesis involved in innervation
Ssiderea052894	Brix
Ssiderea022641	Ankyrin repeat domain-containing protein 53
Ssiderea032768	tachykinin receptor activity
Ssiderea009887	G-protein coupled acetylcholine receptor activity
Ssiderea59962	G-protein coupled receptor activity
Ssiderea056217	translation activator activity
Ssiderea016379	AAA domain (dynein-related subfamily)
Ssiderea001793	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage
Ssiderea009268	sequence-specific DNA binding
Ssiderea018128	SCF complex assembly
Ssiderea041902	Kelch-like protein 31
Ssiderea051475	muscle alpha-actinin binding
Ssiderea038135	collagen
Ssiderea006296	monocarboxylate transporter
Ssiderea028830	Collectin subfamily member 11
Ssiderea017405	dipeptidase activity
Ssiderea009993	ubiquitin-protein transferase activity
Ssiderea025973	negative regulation of axon extension involved in regeneration
Ssiderea050681	Stimulated by retinoic acid gene 6 protein homolog
