Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea259232	Helicase conserved C-terminal domain
Ssiderea257809	negative regulation of extracellular matrix disassembly
Ssiderea149056	Higher Eukarytoes and Prokaryotes Nucleotide-binding domain
Ssiderea269952	RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly
Ssiderea247004	Transmembrane protein 55A
Ssiderea264269	autophagy of host cells involved in interaction with symbiont
Ssiderea222287	Carboxylesterase family
Ssiderea54901	DNA repair protein RAD50
Ssiderea253159	Organic solute transport protein 1
Ssiderea269274	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea149936	regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback
Ssiderea262096	microtubule motor activity
Ssiderea252223	metalloaminopeptidase activity
Ssiderea270088	Hydroxysteroid dehydrogenase-like protein
Ssiderea263216	cytoplasmic sequestering of CFTR protein
Ssiderea261933	Serine aminopeptidase, S33
Ssiderea223461	TMC domain
Ssiderea250372	DNA ligase
Ssiderea245490	Sterile alpha motif and leucine zipper containing kinase AZK
Ssiderea239251	sensory perception of sound
Ssiderea220037	MAC/Perforin domain
Ssiderea258552	transporter activity
Ssiderea214066	sphingolipid delta-4 desaturase activity
Ssiderea243860	elastin catabolic process
Ssiderea259718	7 transmembrane receptor (rhodopsin family)
Ssiderea251266	WD domain, G-beta repeat
Ssiderea225212	protein modification by small protein conjugation
Ssiderea260483	C2H2 zinc finger domain binding
Ssiderea235476	T-box transcription factor
Ssiderea249475	ammonium transmembrane transporter activity
Ssiderea269631	exonuclease
Ssiderea257405	response to arachidonic acid
Ssiderea254334	hydrolase activity
Ssiderea263920	Vacuolar protein sorting-associated protein 35
Ssiderea231795	6-pyruvoyl tetrahydrobiopterin synthase
Ssiderea247669	polymerase zeta catalytic
Ssiderea252858	ATP-dependent 5'-3' DNA helicase activity
Ssiderea211816	Transformation transcription domain-associated protein
Ssiderea248287	General transcription factor IIH
Ssiderea247294	positive regulation of dendrite morphogenesis
Ssiderea266041	Belongs to the AAA ATPase family
Ssiderea228963	defective in cullin neddylation 1, domain containing 4
Ssiderea234620	BEN domain-containing protein 3
Ssiderea260913	negative regulation of protein kinase B signaling
Ssiderea245153	catalytic activity. It is involved in the biological process described with metabolic process
Ssiderea261976	protein monoubiquitination
Ssiderea263648	centrosome cycle
Ssiderea260954	positive regulation of protein localization to chromosome, telomeric region
Ssiderea265010	RNA-directed DNA polymerase from mobile element jockey-like
Ssiderea395439	Belongs to the eukaryotic ribosomal protein P1 P2 family
Ssiderea235640	Src homology 3 domains
Ssiderea185461	AAA domain (dynein-related subfamily)
Ssiderea270152	ATP-binding cassette sub-family D
Ssiderea230767	GTPase activator activity
Ssiderea223255	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity
Ssiderea239444	Integrase core domain
Ssiderea471311	Polymerase (RNA) I polypeptide B, 128kDa
Ssiderea268241	Sodium/calcium exchanger protein
Ssiderea246285	methyltransferase activity
Ssiderea268620	Acid trehalase-like
Ssiderea238282	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
Ssiderea294087	peptidase inhibitor activity
Ssiderea260166	tetratricopeptide repeat
Ssiderea187796	mitochondrial mRNA catabolic process
Ssiderea238924	Cryptochrome
Ssiderea257844	Catalyzes the ferrous insertion into protoporphyrin IX
Ssiderea269732	Belongs to the argonaute family
Ssiderea244858	Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol
Ssiderea242603	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea126237	rRNA binding
Ssiderea267730	carbohydrate response element binding
Ssiderea248136	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Ssiderea266866	harbinger transposase derived 1
Ssiderea256393	peptidyl-lysine oxidation
Ssiderea218484	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea206013	Copine
Ssiderea223507	-
Ssiderea256332	oxidative single-stranded RNA demethylation
Ssiderea245658	sequence-specific DNA binding
Ssiderea252686	protein propionyltransferase activity
Ssiderea221342	peptidase M20
Ssiderea236304	haloacid dehalogenase-like hydrolase
Ssiderea247037	regulation of cell cycle
Ssiderea264161	RNA acetylation
Ssiderea263072	uridine phosphorylase activity
Ssiderea270281	Cytochrome P450, family 46, subfamily A, polypeptide
Ssiderea193738	52 kDa repressor of the inhibitor of the protein
Ssiderea268557	metal ion binding
Ssiderea232735	Centromere protein J
Ssiderea262960	positive regulation of DNA damage response, signal transduction by p53 class mediator
Ssiderea268566	POC1 centriolar protein
Ssiderea191192	negative regulation of non-canonical Wnt signaling pathway
Ssiderea235234	3-keto-sphinganine metabolic process
Ssiderea252007	protein serine/threonine kinase activity
Ssiderea249000	zinc ion binding
Ssiderea235610	oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor
Ssiderea237483	methionine-R-sulfoxide reductase activity
Ssiderea249012	myeloid differentiation primary response protein MyD88
Ssiderea201299	heavy chain 12
Ssiderea216028	sequence-specific DNA binding
Ssiderea248780	ybeY metallopeptidase
Ssiderea258857	DNA polymerase processivity factor activity
Ssiderea241149	diacylglycerol cholinephosphotransferase activity
Ssiderea257536	sequestering of TGFbeta in extracellular matrix
Ssiderea253775	dipeptidyl-peptidase activity
Ssiderea246460	canonical Wnt signaling pathway involved in negative regulation of apoptotic process
Ssiderea259802	ATP binding
Ssiderea260154	Src homology 3 domains
Ssiderea246465	Galactose-3-O-sulfotransferase
Ssiderea258418	ALG14, UDP-N-acetylglucosaminyltransferase subunit
Ssiderea251683	Glutathione S-transferase, C-terminal domain
Ssiderea251598	histone acetyltransferase activity
Ssiderea266225	positive regulation of histone deubiquitination
Ssiderea266314	UV radiation
Ssiderea268104	protein K48-linked ubiquitination
Ssiderea250685	BTB POZ domain-containing protein 16
Ssiderea248255	Paired box 3
Ssiderea227883	WD domain, G-beta repeat
Ssiderea256423	metal ion binding
Ssiderea248061	heat shock
Ssiderea219008	modification-dependent protein catabolic process
Ssiderea248720	carbohydrate:proton symporter activity
Ssiderea258876	N-terminal peptidyl-proline dimethylation
Ssiderea217054	dioxygenase activity
Ssiderea242958	DEAD/DEAH box helicase
Ssiderea254772	Scavenger receptor Cys-rich
Ssiderea199165	ATP-dependent RNA helicase
Ssiderea153429	Endonuclease/Exonuclease/phosphatase family
Ssiderea175311	Zinc-dependent metalloprotease
Ssiderea249793	helicase superfamily c-terminal domain
Ssiderea257639	dolichyldiphosphatase activity
Ssiderea234073	Collagen triple helix
Ssiderea247116	small GTPase mediated signal transduction
Ssiderea235607	temperature-gated cation channel activity
Ssiderea245070	Saccharopine
Ssiderea227382	Glutamine amidotransferase class-I
Ssiderea270333	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Ssiderea227813	scavenger receptor activity
Ssiderea258515	TAF6-like RNA polymerase II, p300 CBP-associated
Ssiderea137022	NFX1-type zinc finger-containing protein
Ssiderea232201	cortical actin cytoskeleton organization
Ssiderea248319	process utilizing autophagic mechanism
Ssiderea243891	Thioesterase-like superfamily
Ssiderea410271	GABA-A receptor activity
Ssiderea146707	cell surface pattern recognition receptor signaling pathway
Ssiderea256155	ribosomal small subunit assembly
Ssiderea243425	transferase activity, transferring hexosyl groups
Ssiderea255953	Poly (ADP-ribose) glycohydrolase (PARG)
Ssiderea233056	actin binding
Ssiderea232826	Otolith matrix protein
Ssiderea219601	Protein tyrosine phosphatase, receptor type
Ssiderea238409	Armadillo repeat containing 2
Ssiderea231040	NAB conserved region 2 (NCD2)
Ssiderea254305	calcium ion-regulated exocytosis of neurotransmitter
Ssiderea264368	ammonium transmembrane transporter activity
Ssiderea256541	ATPase activity, coupled to transmembrane movement of substances
Ssiderea242121	Glucose-6-phosphatase
Ssiderea260378	NADP-retinol dehydrogenase activity
Ssiderea269082	ATPase activity, coupled to transmembrane movement of substances
Ssiderea127560	Ferredoxin--NADP reductase
Ssiderea218205	Belongs to the MCM family
Ssiderea248172	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins
Ssiderea259308	cohesin loading
Ssiderea255910	threonine-type endopeptidase activity
Ssiderea268448	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase
Ssiderea248882	regulation of vesicle fusion
Ssiderea260515	Fibronectin type 3 domain
Ssiderea594197	detection of mechanical stimulus
Ssiderea267424	Mitogen-activated protein kinase kinase kinase 4
Ssiderea259371	ribosomal protein S7
Ssiderea229388	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea11794	Voltage-dependent T-type calcium channel subunit
Ssiderea259612	sequence-specific DNA binding
Ssiderea255108	positive regulation of interleukin-4-mediated signaling pathway
Ssiderea219609	heavy chain
Ssiderea260564	Epoxide hydrolase 2
Ssiderea262715	Nuclear receptor coactivator 7
Ssiderea232856	ammonium transmembrane transporter activity
Ssiderea245213	peroxidase activity
Ssiderea198109	Pulmonary surfactant-associated protein
Ssiderea23643	AMP catabolic process
Ssiderea254233	hydroxymethylglutaryl-CoA synthase activity
Ssiderea265095	positive regulation of protein localization to plasma membrane
Ssiderea232666	mRNA processing
Ssiderea248772	spliceosomal complex assembly
Ssiderea223903	biological adhesion
Ssiderea145774	nucleoside:sodium symporter activity
Ssiderea266079	ubiquitin protein ligase binding
Ssiderea242324	GTPase activity
Ssiderea245294	hematopoietic stem cell homeostasis
Ssiderea263225	microtubule motor activity
Ssiderea277589	Ribonucleoside-diphosphate reductase subunit
Ssiderea260844	Cupin-like domain
Ssiderea248310	extracellularly ATP-gated cation channel activity
Ssiderea260667	cellular response to interleukin-11
Ssiderea252760	metalloendopeptidase activity
Ssiderea262644	phosphorylase kinase activity
Ssiderea253721	transmembrane transport
Ssiderea252786	Milk fat globule-EGF factor 8 protein
Ssiderea269492	T follicular helper cell differentiation
Ssiderea267196	Leucine Rich repeat
Ssiderea207782	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea264978	acetyl-CoA C-acyltransferase activity
Ssiderea263824	fibroblast growth factor-activated receptor activity
Ssiderea245424	A-type (transient outward) potassium channel activity
Ssiderea245672	phospholipase
Ssiderea259597	cilium assembly
Ssiderea254294	peptidyl-tyrosine autophosphorylation
Ssiderea241416	Breast cancer metastasis-suppressor
Ssiderea258736	ATPase activity, coupled to transmembrane movement of substances
Ssiderea259641	protein localization to nucleoplasm
Ssiderea236381	calcium ion binding
Ssiderea252883	tRNA wobble uridine modification
Ssiderea261040	regulation of ATP-dependent microtubule motor activity, plus-end-directed
Ssiderea256946	endosome organization
Ssiderea247072	nicotinamide-nucleotide adenylyltransferase activity
Ssiderea249268	acid phosphatase activity
Ssiderea259512	Poly (ADP-ribose) polymerase
Ssiderea235033	endoplasmic reticulum-plasma membrane tethering
Ssiderea396298	voltage-gated potassium channel activity
Ssiderea227230	alpha1-adrenergic receptor activity
Ssiderea564970	methyltransferase activity
Ssiderea249847	zinc finger, RAN-binding domain containing
Ssiderea215837	galactosyltransferase activity
Ssiderea243990	Ankyrin repeats (many copies)
Ssiderea243155	Thioesterase domain
Ssiderea256556	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
Ssiderea263562	retrograde vesicle-mediated transport, Golgi to ER
Ssiderea259681	serine threonine-protein kinase PRP4 homolog
Ssiderea247825	cellular response to aldosterone
Ssiderea254188	Testis expressed 9
Ssiderea260554	Basic leucine zipper nuclear factor 1
Ssiderea171181	e3 ubiquitin-protein ligase
Ssiderea254285	lyase activity
Ssiderea226435	Armadillo repeat containing 1
Ssiderea249801	Major Facilitator Superfamily
Ssiderea270185	transposition, RNA-mediated
Ssiderea250088	dihydropyrimidinase activity
Ssiderea369174	NAC domain
Ssiderea253387	L-aminoadipate-semialdehyde dehydrogenase activity
Ssiderea256690	tubulin-dependent ATPase activity
Ssiderea271287	actin binding
Ssiderea270474	zinc ion binding
Ssiderea226166	selenocysteine incorporation
Ssiderea256237	Solute carrier organic anion transporter family, member
Ssiderea210407	transmembrane transport
Ssiderea213198	Belongs to the universal ribosomal protein uS13 family
Ssiderea218883	protein K48-linked ubiquitination
Ssiderea147169	FANCI solenoid 1
Ssiderea262737	regulation of protein monoubiquitination
Ssiderea250499	FAD dependent oxidoreductase
Ssiderea264220	GIPC PDZ domain containing family member
Ssiderea248862	transferase activity, transferring acyl groups
Ssiderea256912	organic anion transmembrane transporter activity
Ssiderea243537	calmodulin-dependent protein kinase activity
Ssiderea250541	-
Ssiderea238600	Lipoxygenase
Ssiderea263362	LisH domain-containing protein ARMC9
Ssiderea236624	positive regulation of growth of symbiont in host
Ssiderea217392	positive regulation of rhodopsin gene expression
Ssiderea251832	Histidine ammonia-lyase
Ssiderea511243	iron import into the mitochondrion
Ssiderea483808	Centromere protein M (CENP-M)
Ssiderea265524	transcriptional regulator
Ssiderea265081	Nucleoporin FG repeated region
Ssiderea239416	transmembrane protein 147
Ssiderea179836	Responsible for synthesis of pseudouridine from uracil
Ssiderea266285	Testis-expressed sequence 2 protein
Ssiderea244476	regulation of mitotic cell cycle
Ssiderea246650	MAM domain, meprin/A5/mu
Ssiderea270614	N-acetylphosphatidylethanolamine-hydrolysing phospholipas activity
Ssiderea259506	positive regulation of prolactin signaling pathway
Ssiderea231020	endoplasmic reticulum organization
Ssiderea602	Domain of unknown function (DUF4062)
Ssiderea219785	PolyA polymerase
Ssiderea204119	G-protein coupled GABA receptor activity
Ssiderea214048	calcium ion binding
Ssiderea241407	re-entry into mitotic cell cycle
Ssiderea258988	asparagine catabolic process via L-aspartate
Ssiderea267577	transmembrane protein 198
Ssiderea248470	DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea241323	phosphatidylinositol N-acetylglucosaminyltransferase activity
