Ssiderea256452	guanine/thymine mispair binding
Ssiderea238902	Thioredoxin domain-containing protein 9
Ssiderea258379	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea245193	Er lumen protein retaining receptor
Ssiderea250897	zinc ion binding
Ssiderea210232	Polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1
Ssiderea263081	response to arachidonic acid
Ssiderea240899	metalloaminopeptidase activity
Ssiderea256101	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
Ssiderea249230	serine-type endopeptidase activity
Ssiderea210785	positive regulation of interleukin-6-mediated signaling pathway
Ssiderea259757	dipeptidase activity
Ssiderea263088	ribosomal large subunit assembly
Ssiderea245372	N-acetylneuraminic acid phosphatase
Ssiderea213440	Ribosomal large subunit proteins 60S L5, and 50S L18
Ssiderea263765	-
Ssiderea190127	positive regulation of myosin-light-chain-phosphatase activity
Ssiderea260238	cysteine-type endopeptidase activity
Ssiderea235174	fibroblast growth factor-activated receptor activity
Ssiderea254329	Protein of unknown function
Ssiderea254159	heme binding
Ssiderea256230	peroxidase activity
Ssiderea255991	midbrain morphogenesis
Ssiderea249789	PX domain
Ssiderea253379	Aminotransferase class I and II
Ssiderea248808	biological adhesion
Ssiderea256955	negative regulation of extracellular matrix disassembly
Ssiderea262721	tRNA pseudouridine synthesis
Ssiderea242552	Golgi organization
Ssiderea252464	membrane-associated RNA degradation
Ssiderea232648	chromosome organization
Ssiderea250795	serine-type endopeptidase activity
Ssiderea262552	zinc ion transmembrane transporter activity
Ssiderea248235	Pyridine nucleotide-disulphide oxidoreductase
Ssiderea262784	positive regulation of growth of symbiont in host
Ssiderea254705	heparin binding
Ssiderea213705	Calcium-binding protein
Ssiderea240215	DEAH (Asp-Glu-Ala-His) box polypeptide 40
Ssiderea260182	ATG13 autophagy related 13 homolog (S. cerevisiae)
Ssiderea273462	A Receptor for Ubiquitination Targets
Ssiderea260771	MAC/Perforin domain
Ssiderea238951	RNA splicing
Ssiderea230234	Structural maintenance of chromosomes flexible hinge
Ssiderea261921	Protein of unknown function (DUF917)
Ssiderea222096	von Willebrand factor (vWF) type A domain
Ssiderea225696	guanine nucleotide-binding protein
Ssiderea230749	rRNA transcription
Ssiderea219727	ubiquitin-like protein ligase activity
Ssiderea235237	Cytochrome P450
Ssiderea244502	Major Facilitator Superfamily
Ssiderea383754	methionine adenosyltransferase activity
Ssiderea258623	cell cycle
Ssiderea209862	DnaJ molecular chaperone homology domain
Ssiderea327896	C-5 cytosine-specific DNA methylase
Ssiderea255400	Structural maintenance of chromosomes
Ssiderea245090	Dual specificity
Ssiderea252976	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
Ssiderea246933	Ectonucleoside triphosphate diphosphohydrolase
Ssiderea182601	Interferon-stimulated 20 kDa exonuclease-like 2
Ssiderea247017	protein localization to plasma membrane
Ssiderea357608	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Ssiderea191681	tripeptidyl-peptidase activity
Ssiderea231521	Activating transcription factor
Ssiderea201231	potassium voltage-gated channel
Ssiderea254089	Failed axon connections homolog
Ssiderea248264	Ribonuclease H protein
Ssiderea255190	axonogenesis involved in innervation
Ssiderea248182	DNA-directed RNA polymerase
Ssiderea247963	solute carrier family 35, member D3
Ssiderea233054	intramolecular oxidoreductase activity, transposing S-S bonds
Ssiderea259854	transmembrane transport
Ssiderea259483	complement activation, lectin pathway
Ssiderea253271	sphingolipid transporter activity
Ssiderea258167	ATP binding
Ssiderea244999	neuron death in response to oxidative stress
Ssiderea257908	Leucine Rich repeat
Ssiderea248787	activation of GTPase activity
Ssiderea232078	metal ion binding
Ssiderea227125	Histone RNA hairpin-binding protein
Ssiderea256337	2,4-dienoyl-CoA reductase (NADPH) activity
Ssiderea248556	histone H2A acetylation
Ssiderea252743	positive regulation of protein tyrosine phosphatase activity
Ssiderea262604	structural constituent of cuticle
Ssiderea249049	embryonic heart tube elongation
Ssiderea213523	Ribosomal L32p protein family
Ssiderea243006	Rap guanyl-nucleotide exchange factor activity
Ssiderea261629	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Ssiderea263261	protein kinase activity
Ssiderea260691	sequence-specific DNA binding
Ssiderea228903	protein folding in endoplasmic reticulum
Ssiderea258023	Protein tyrosine kinase
Ssiderea224864	Retinoic acid induced 16-like protein
Ssiderea263010	calmodulin-dependent protein kinase activity
Ssiderea261550	Ribonuclease H protein
Ssiderea250608	chromatin disassembly
Ssiderea260175	branchiomeric skeletal muscle development
Ssiderea159104	Calcineurin-like phosphoesterase
Ssiderea251810	metal ion binding
Ssiderea261865	Belongs to the OSBP family
Ssiderea263528	Rho guanyl-nucleotide exchange factor activity
Ssiderea256070	-
Ssiderea255510	zinc ion binding
Ssiderea248220	-
Ssiderea259104	cyclic nucleotide-gated ion channel activity
Ssiderea247676	voltage-gated anion channel activity
Ssiderea256328	K02A2.6-like
Ssiderea233359	chromodomain helicase DNA binding protein 1-like
Ssiderea216120	osmolarity-sensing cation channel activity
Ssiderea244181	DTW domain containing 1
Ssiderea236132	thelarche
Ssiderea258353	Formin 1
Ssiderea253832	actin filament network formation
Ssiderea220383	methylated histone binding
Ssiderea381222	14-3-3 protein
Ssiderea256693	PHD finger protein 13
Ssiderea252763	Serine threonine-protein kinase tousled-like
Ssiderea175584	Cathepsin propeptide inhibitor domain (I29)
Ssiderea254274	protein localization to phagophore assembly site
Ssiderea251680	Putative Interleukin 2 receptor, gamma chain
Ssiderea246101	hydrolase activity
Ssiderea223146	-
Ssiderea259831	Cytochrome P450
Ssiderea257835	positive regulation of tubulin deacetylation
Ssiderea256412	aldonic acid metabolic process
Ssiderea246022	regulation of sodium ion transport
Ssiderea246867	RNA splicing
Ssiderea94054	polycystic kidney disease protein 1-like
Ssiderea232208	Mitochondrial carrier protein
Ssiderea247367	cyclin-dependent protein serine/threonine kinase regulator activity
Ssiderea256079	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea252481	Coiled-coil domain containing 157
Ssiderea258346	Rab GTPase binding
Ssiderea240064	phosphoribosylformylglycinamidine synthase activity
Ssiderea451358	Ferredoxin--NADP reductase
Ssiderea257937	MDM2/MDM4 family protein binding
Ssiderea260634	hyaluronic acid binding
Ssiderea154338	maturation of LSU-rRNA
Ssiderea249829	smoothened signaling pathway
Ssiderea231879	protein secretion
Ssiderea261175	regulation of synaptic plasticity by receptor localization to synapse
Ssiderea258853	low-density lipoprotein receptor-related protein
Ssiderea245743	7 transmembrane receptor (rhodopsin family)
Ssiderea246658	YEATS family
Ssiderea252841	isocitrate dehydrogenase (NAD+) activity
Ssiderea233886	GTPase-activator protein for Rho-like GTPases
Ssiderea236756	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea263322	Synovial sarcoma, X breakpoint 2 interacting protein
Ssiderea245162	Protein of unknown function (DUF1115)
Ssiderea236235	exonuclease activity
Ssiderea252114	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein
Ssiderea215448	Hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing
Ssiderea226302	poly(U)-specific
Ssiderea251426	ArfGAP with dual PH
Ssiderea261839	regulation of DNA damage checkpoint
Ssiderea258424	protein-DNA loading ATPase activity
Ssiderea253500	calcium ion binding
Ssiderea236008	Testis-expressed sequence 10 protein
Ssiderea217839	Brefeldin A-inhibited guanine nucleotide-exchange protein
Ssiderea257911	Cytochrome P450, family 46, subfamily A, polypeptide
Ssiderea234863	Ribosomal protein L3
Ssiderea239026	zinc finger
Ssiderea236493	AMMECR1
Ssiderea258205	negative regulation of cell cycle arrest
Ssiderea235603	GTP binding. It is involved in the biological process described with
Ssiderea249566	secondary active sulfate transmembrane transporter activity
Ssiderea218242	Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy
Ssiderea259239	Beta-lactamase
Ssiderea256172	histone acetylation
Ssiderea221322	scavenger receptor activity
Ssiderea241531	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament
Ssiderea262013	prolactin regulatory
Ssiderea239697	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea263691	Belongs to the SelWTH family. Selenoprotein T subfamily
Ssiderea258841	serine-type endopeptidase activity
Ssiderea240330	Domain of unknown function (DUF4062)
Ssiderea179594	Aldo/keto reductase family
Ssiderea253235	Male gamete fusion factor
Ssiderea260734	axonogenesis involved in innervation
Ssiderea224335	regulation of chromosome segregation
Ssiderea259986	amine oxidase
Ssiderea236474	spermatogenesis
Ssiderea217651	Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one- codon backward translocation of tRNAs on improperly translocated ribosomes. Binds to mitochondrial ribosomes in a GTP-dependent manner
Ssiderea246317	D-arabinitol dehydrogenase 1-like
Ssiderea262747	regulation of vesicle fusion
Ssiderea261548	Histone-lysine N-methyltransferase
Ssiderea221931	protein modification by small protein conjugation
Ssiderea206877	TBC1 domain family, member 25
Ssiderea242290	microtubule associated serine threonine
Ssiderea251860	acidic dipeptidase 2
Ssiderea260532	ribosomal protein S35
Ssiderea261906	K02A2.6-like
Ssiderea261279	Dehydrogenase reductase SDR family member
Ssiderea244055	polypeptide
Ssiderea419264	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea244977	4 iron, 4 sulfur cluster binding
Ssiderea241114	cytidylate kinase activity
Ssiderea60468	RNA methyltransferase
Ssiderea252413	gamma-aminobutyric acid:proton symporter activity
Ssiderea249576	biological adhesion
Ssiderea262447	poly ADP-ribose polymerase
Ssiderea253301	Structural molecule activity. It is involved in the biological process described with cell adhesion
Ssiderea244338	serine-type endopeptidase activity
Ssiderea258797	WD40 repeats
Ssiderea233894	adenylate cyclase-activating dopamine receptor signaling pathway
Ssiderea258523	C2 domain-containing protein
Ssiderea250785	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Ssiderea258323	Glutamine phosphoribosylpyrophosphate amidotransferase
Ssiderea246225	structural constituent of cuticle
Ssiderea260219	alpha/beta hydrolase fold
Ssiderea242081	oxidative single-stranded RNA demethylation
Ssiderea262071	Centromere protein C
Ssiderea243800	gamma-tubulin binding
Ssiderea263320	phosphatidylserine exposure on apoptotic cell surface
Ssiderea255466	RNA polymerase II transcriptional preinitiation complex assembly
Ssiderea260684	Heat shock 70 kDa protein cognate
Ssiderea260082	dense core granule exocytosis
Ssiderea253821	F-box protein 16
Ssiderea257388	histone H2A monoubiquitination
Ssiderea218203	post-chaperonin tubulin folding pathway
Ssiderea34269	ATPase inhibitor activity
Ssiderea19495	ubiquitin-like protein ligase activity
Ssiderea258235	tRNA export from nucleus
Ssiderea58095	Belongs to the eukaryotic ribosomal protein eS8 family
Ssiderea248352	SH3 domain-binding protein 2
Ssiderea246438	Belongs to the sterol desaturase family
Ssiderea258832	Homeobox protein aristaless-like 4
Ssiderea251582	COMM domain-containing protein 10
Ssiderea259527	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
Ssiderea237347	triterpenoid metabolic process
Ssiderea257347	histone deacetylase
Ssiderea435996	acetylcholine-gated cation-selective channel activity
Ssiderea255851	Belongs to the DEAD box helicase family
Ssiderea247059	solute carrier family 4, sodium bicarbonate
Ssiderea218095	diphthine synthase activity
Ssiderea217394	glutamate synthase (NADH) activity. It is involved in the biological process described with oxidation-reduction process
Ssiderea257332	phenylalanyl-tRNA synthetase 2, mitochondrial
Ssiderea247707	cell division cycle 5-like
Ssiderea82844	Dynein heavy chain domain-containing protein 1-like
Ssiderea256520	Variant histone H2A which replaces conventional H2A in a subset of nucleosomes
Ssiderea239261	Vitamin B6 photo-protection and homoeostasis
Ssiderea230037	translation initiation factor activity
Ssiderea262389	P-loop containing NTP hydrolase pore-1
Ssiderea257224	lipoprotein receptor-related protein
Ssiderea253892	histidine transport
Ssiderea240021	inositol
Ssiderea112176	Ankyrin repeat
Ssiderea239870	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Ssiderea395018	glutamate receptor
Ssiderea249514	ATP-dependent RNA helicase
Ssiderea202512	Methylmalonic aciduria (cobalamin deficiency) cblB type
Ssiderea228932	transmembrane transport
Ssiderea242990	ADP-ribosylation factor 4
Ssiderea251293	microtubule minus-end binding
Ssiderea246010	CUB and zona pellucida-like domain-containing protein
Ssiderea260414	malonate catabolic process
Ssiderea257562	DNA repair protein complementing XP-A cells
Ssiderea109897	hydrolase activity, acting on ester bonds
Ssiderea224980	Isoprenoid synthase
Ssiderea232522	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
Ssiderea260291	Glycine cleavage H-protein
Ssiderea258141	positive regulation of DNA ligase activity
Ssiderea251532	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
Ssiderea247796	cell-cell signaling involved in mammary gland development
Ssiderea224059	U12 snRNA binding
Ssiderea250815	Cell division cycle 73
Ssiderea240363	Ras-related GTP-binding protein
Ssiderea230440	protein C16orf52 homolog
Ssiderea235472	1-aminocyclopropane-1-carboxylate synthase-like protein
Ssiderea259111	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Ssiderea245951	oxidoreductase activity
Ssiderea247001	Lectin, mannose-binding 1
